epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,223.966,2.32391,1.87535,1.61265,0.27356,0.25594,0.19193,0.05904,2.84077,2.20514,1.91548,0.0011882,0.0011882,0.0011882
43,228.393,2.27034,1.85031,1.59891,0.29066,0.23219,0.18393,0.05651,2.77387,2.20194,1.86227,0.0011684,0.0011684,0.0011684
44,232.888,2.26439,1.8064,1.58853,0.27596,0.26649,0.15747,0.0451,2.82584,2.24713,1.90241,0.0011486,0.0011486,0.0011486
45,237.213,2.2235,1.88936,1.58363,0.28747,0.26081,0.17493,0.05601,2.76164,2.15505,1.89185,0.0011288,0.0011288,0.0011288
46,240.794,2.29076,1.86544,1.59641,0.2683,0.26385,0.18865,0.0567,2.71311,2.17341,1.92011,0.001109,0.001109,0.001109
47,245.132,2.2621,1.86271,1.5869,0.2913,0.27177,0.19916,0.0638,2.67982,2.15784,1.92092,0.0010892,0.0010892,0.0010892
48,249.665,2.27454,1.83901,1.57045,0.27529,0.25858,0.19474,0.06299,2.71875,2.17197,1.88484,0.0010694,0.0010694,0.0010694
49,254.091,2.25944,1.85782,1.58747,0.29168,0.27968,0.21022,0.06548,2.72425,2.16253,1.90377,0.0010496,0.0010496,0.0010496
50,257.999,2.19805,1.80933,1.56288,0.30388,0.27441,0.20041,0.06466,2.66356,2.18258,1.89157,0.0010298,0.0010298,0.0010298
51,261.843,2.16384,1.80258,1.55232,0.276,0.26121,0.18829,0.06041,2.68493,2.16412,1.89859,0.00101,0.00101,0.00101
52,265.353,2.20412,1.80564,1.56579,0.26028,0.26913,0.17872,0.05989,2.67985,2.15287,1.89843,0.0009902,0.0009902,0.0009902
53,269.759,2.18345,1.807,1.57359,0.29172,0.26121,0.18984,0.06187,2.68202,2.13279,1.90364,0.0009704,0.0009704,0.0009704
54,273.172,2.23166,1.79151,1.55035,0.30481,0.29024,0.22049,0.06984,2.68596,2.10399,1.86031,0.0009506,0.0009506,0.0009506
55,276.718,2.20949,1.77011,1.5405,0.35367,0.24011,0.22244,0.07112,2.70288,2.13681,1.85201,0.0009308,0.0009308,0.0009308
56,280.367,2.1645,1.72786,1.5236,0.31151,0.23219,0.20069,0.06564,2.82518,2.21081,1.89121,0.000911,0.000911,0.000911
57,284.172,2.18733,1.73871,1.50945,0.30352,0.25066,0.20629,0.06424,2.81871,2.19962,1.87915,0.0008912,0.0008912,0.0008912
58,288.502,2.16637,1.78117,1.53274,0.31624,0.26913,0.21872,0.06682,2.76616,2.1428,1.8784,0.0008714,0.0008714,0.0008714
59,292.411,2.11013,1.71329,1.52376,0.31476,0.28496,0.23569,0.07503,2.69634,2.11188,1.85612,0.0008516,0.0008516,0.0008516
60,295.828,2.16901,1.79376,1.53338,0.31582,0.29288,0.22856,0.06697,2.67,2.12935,1.85278,0.0008318,0.0008318,0.0008318
61,299.383,2.13002,1.74006,1.5036,0.33466,0.29288,0.22834,0.06225,2.65334,2.10693,1.84493,0.000812,0.000812,0.000812
62,303.814,2.18365,1.79972,1.55149,0.29196,0.27177,0.20332,0.06359,2.63696,2.10745,1.89983,0.0007922,0.0007922,0.0007922
63,308.064,2.12017,1.74326,1.51396,0.30568,0.27441,0.19866,0.06232,2.66789,2.1008,1.92919,0.0007724,0.0007724,0.0007724
64,312.367,2.1109,1.73659,1.48429,0.32051,0.27968,0.20883,0.06251,2.71464,2.11973,1.93407,0.0007526,0.0007526,0.0007526
65,315.802,2.10705,1.73939,1.52176,0.31378,0.28496,0.21621,0.06459,2.72715,2.1064,1.94545,0.0007328,0.0007328,0.0007328
66,319.793,2.12419,1.7102,1.48498,0.31456,0.28496,0.22745,0.06741,2.71662,2.0641,1.93445,0.000713,0.000713,0.000713
67,323.554,2.11911,1.70876,1.46814,0.31012,0.28232,0.22578,0.06702,2.71896,2.07788,1.89527,0.0006932,0.0006932,0.0006932
68,327.01,2.07528,1.71184,1.48077,0.31088,0.24802,0.21425,0.06718,2.75928,2.13482,1.88067,0.0006734,0.0006734,0.0006734
69,330.352,2.09364,1.72822,1.47692,0.31483,0.24854,0.22434,0.07082,2.74526,2.12152,1.87402,0.0006536,0.0006536,0.0006536
70,333.815,2.06742,1.66915,1.48175,0.31451,0.24802,0.23666,0.08043,2.6886,2.07096,1.85513,0.0006338,0.0006338,0.0006338
