epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.919,2.36039,1.84311,1.57787,0.39823,0.34565,0.31874,0.1213,2.38119,1.88416,1.63834,0.0011882,0.0011882,0.0011882
43,243.015,2.32445,1.83764,1.6037,0.4031,0.3219,0.30152,0.12064,2.39382,1.88267,1.6544,0.0011684,0.0011684,0.0011684
44,247.384,2.29361,1.81235,1.58634,0.39661,0.33509,0.30622,0.11715,2.39083,1.90371,1.68541,0.0011486,0.0011486,0.0011486
45,251.364,2.32081,1.88475,1.59404,0.37157,0.33853,0.2932,0.1169,2.40734,1.90863,1.69975,0.0011288,0.0011288,0.0011288
46,255.228,2.36529,1.85927,1.57641,0.3945,0.3219,0.28556,0.11671,2.37251,1.866,1.68449,0.001109,0.001109,0.001109
47,259.254,2.27684,1.86165,1.56169,0.39751,0.3219,0.29879,0.11709,2.37463,1.87236,1.70535,0.0010892,0.0010892,0.0010892
48,263.506,2.30364,1.8399,1.60126,0.39834,0.34037,0.30745,0.11924,2.39011,1.8862,1.68699,0.0010694,0.0010694,0.0010694
49,267.778,2.31303,1.85953,1.58552,0.38295,0.34224,0.31447,0.12114,2.37838,1.87668,1.67317,0.0010496,0.0010496,0.0010496
50,271.317,2.3243,1.83558,1.5721,0.38955,0.31926,0.3092,0.11795,2.42488,1.89461,1.66977,0.0010298,0.0010298,0.0010298
51,275.033,2.29794,1.82499,1.5497,0.41828,0.34828,0.31257,0.12355,2.38781,1.91357,1.65157,0.00101,0.00101,0.00101
52,279.049,2.31241,1.85969,1.54994,0.3532,0.33773,0.26873,0.10708,2.39271,1.93665,1.63833,0.0009902,0.0009902,0.0009902
53,282.859,2.25816,1.83788,1.56403,0.32646,0.3219,0.2415,0.09588,2.36755,1.9574,1.63057,0.0009704,0.0009704,0.0009704
54,286.708,2.19927,1.79568,1.55053,0.36447,0.33245,0.30322,0.12449,2.3076,1.9038,1.62395,0.0009506,0.0009506,0.0009506
55,290.456,2.24992,1.81909,1.5419,0.38646,0.32454,0.31944,0.13953,2.29867,1.87328,1.62799,0.0009308,0.0009308,0.0009308
56,294.222,2.26383,1.85831,1.56817,0.41602,0.32982,0.32425,0.14047,2.29898,1.84139,1.62939,0.000911,0.000911,0.000911
57,298.091,2.24827,1.82096,1.54289,0.42601,0.33245,0.3377,0.13139,2.27673,1.80889,1.62613,0.0008912,0.0008912,0.0008912
58,301.671,2.21261,1.7842,1.51534,0.45998,0.32589,0.33662,0.13582,2.28189,1.79761,1.6178,0.0008714,0.0008714,0.0008714
59,305.501,2.3015,1.79401,1.54108,0.44493,0.35743,0.33817,0.13733,2.29478,1.79824,1.61605,0.0008516,0.0008516,0.0008516
60,309.588,2.23605,1.81186,1.53458,0.43812,0.36412,0.33726,0.13871,2.2274,1.77852,1.60338,0.0008318,0.0008318,0.0008318
61,313.486,2.21966,1.79933,1.52597,0.415,0.36939,0.33047,0.1265,2.28855,1.78897,1.60387,0.000812,0.000812,0.000812
62,317.491,2.23562,1.76636,1.51683,0.40701,0.37731,0.32924,0.13279,2.26158,1.80623,1.58899,0.0007922,0.0007922,0.0007922
63,321.25,2.23182,1.78736,1.51619,0.39232,0.36412,0.3214,0.13382,2.29509,1.83294,1.59618,0.0007724,0.0007724,0.0007724
64,325.728,2.2471,1.76306,1.51988,0.37454,0.37995,0.32694,0.1332,2.27989,1.82123,1.58393,0.0007526,0.0007526,0.0007526
65,329.64,2.20076,1.76239,1.5137,0.41105,0.37731,0.33539,0.13938,2.23161,1.80507,1.57624,0.0007328,0.0007328,0.0007328
66,333.388,2.21214,1.80133,1.50282,0.42323,0.37467,0.3373,0.1404,2.2333,1.82379,1.55016,0.000713,0.000713,0.000713
